__v,_id,_index,_score,_type,createdAt,customer,orderItems,resto,total,updatedAt
0,5de7684cbd9e52fdcff91a3f,commandes,1.0,orders,2019-12-04T09:03:24.381+01:00,5d499c467cdaeefdb118637a,"[{'_id': '5de7684cbd9e527954f91a40', 'price': 10, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,10.0,2019-12-04T09:03:24.381+01:00
0,5df7551e8586fd67417f7ce4,commandes,1.0,orders,2019-12-16T10:57:50.064+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5df7551e8586fd70027f7ce5', 'price': 10, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,10.0,2019-12-16T10:57:50.064+01:00
0,5df75dab8586fd50ce7f7ce6,commandes,1.0,orders,2019-12-16T11:34:19.711+01:00,5d499c467cdaeefdb118637a,"[{'_id': '5df75dab8586fd40fc7f7ce7', 'comment': 'LES SAUCES ::Avec harissa Sans Tomate  SOUHAITEZ VOUS RAJOUTER UN SUPPLEMENT :: a: ', 'price': 10, 'product': 'Sandwich Zinger', 'quantity': 2}]",5d494f91b25fcd0b10da1f15,20.0,2019-12-16T11:34:19.711+01:00
0,5e45498bda0180223e0c17f7,commandes,1.0,orders,2020-02-13T14:05:15.863+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5e45498bda018038650c17f8', 'comment': 'choix:Avec harissa,    ', 'price': 10, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,10.0,2020-02-13T14:05:15.863+01:00
0,5e4e5d01da0180895b0c17fb,commandes,1.0,orders,2020-02-20T11:18:41.738+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5e4e5d01da0180cb8e0c17fc', 'comment': 'choix: Jambon  coca  ', 'price': 13, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,13.0,2020-02-20T11:18:41.738+01:00
0,5e4ff630da0180a7b20c17ff,commandes,1.0,orders,2020-02-21T16:24:32.592+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5e4ff630da018021bf0c1800', 'comment': 'choix:   ', 'price': 10, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,10.0,2020-02-21T16:24:32.592+01:00
0,5da718eb2752101e751469e6,commandes,1.0,orders,2019-10-16T14:19:39.913+01:00,5d499c467cdaeefdb118637a,"[{'_id': '5da718eb275210e6351469e7', 'price': 4.8, 'product': 'Sandwich Tunisien', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,4.8,2019-10-16T14:19:39.913+01:00
0,5da71d17275210efa51469eb,commandes,1.0,orders,2019-10-16T14:37:27.273+01:00,5d499c467cdaeefdb118637a,"[{'_id': '5da71d17275210dc111469ec', 'price': 5, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,5.0,2019-10-16T14:37:27.273+01:00
0,5dc04b1773bfc3d6f44d1ab6,commandes,1.0,orders,2019-11-04T17:00:23.531+01:00,5dbc1c7db5ef1b7e87f99207,"[{'_id': '5dc04b1773bfc3738d4d1ab7', 'price': 4.7, 'product': 'Sandwich Tunisien', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,4.7,2019-11-04T17:00:23.531+01:00
0,5dc146d173bfc344014d1aba,commandes,1.0,orders,2019-11-05T10:54:25.462+01:00,5dbc1c7db5ef1b7e87f99207,"[{'_id': '5dc146d173bfc342094d1abb', 'price': 4.9, 'product': 'Sandwich Alaska', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,4.9,2019-11-05T10:54:25.462+01:00
0,5dc28db3e17ef55d928568dc,commandes,1.0,orders,2019-11-06T10:09:07.346+01:00,5dbc1c7db5ef1b7e87f99207,"[{'_id': '5dc28db3e17ef570fd8568dd', 'price': 5, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,5.0,2019-11-06T10:09:07.346+01:00
